,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
37,37.0,0.4055,0.3399,0.091,0.0,0.0,0.0,0.3622,0.3054,0.1677,0.0235,0.0,0.0,0.5664,0.2136,0.0,0.0,0.0,0.0,0.3622,0.2877,0.1876,0.0235,0.0,0.0
38,38.0,0.3841,0.3399,0.1195,0.0,0.0,0.0,0.3732,0.3054,0.1542,0.0235,0.0,0.0,0.539,0.2513,0.0,0.0,0.0,0.0,0.3567,0.2697,0.2071,0.0235,0.0079,0.0
39,39.0,0.3947,0.3155,0.1214,0.008,0.008,0.0,0.3837,0.2857,0.1769,0.008,0.0,0.0,0.5504,0.236,0.0,0.0,0.0,0.0,0.3502,0.2857,0.2036,0.0239,0.0,0.0
40,40.0,0.3834,0.314,0.1518,0.0,0.0,0.0,0.3834,0.3019,0.1588,0.0082,0.0,0.0,0.5335,0.2586,0.0,0.0,0.0,0.0,0.3493,0.2712,0.2133,0.0243,0.0082,0.0
41,41.0,0.3914,0.3085,0.1481,0.0,0.0,0.0,0.3799,0.3085,0.1625,0.0,0.0,0.0,0.5341,0.2578,0.0,0.0,0.0,0.0,0.3625,0.2771,0.2045,0.0167,0.0,0.0
42,42.0,0.4083,0.313,0.1054,0.0085,0.0085,0.0,0.3853,0.3067,0.1578,0.0,0.0,0.0,0.5608,0.2214,0.0,0.0,0.0,0.0,0.3853,0.2617,0.1795,0.0253,0.0085,0.0
43,43.0,0.3851,0.3267,0.1345,0.0,0.0,0.0,0.3642,0.3157,0.1542,0.0075,0.0075,0.0075,0.5421,0.2471,0.0,0.0,0.0,0.0,0.3695,0.2763,0.1986,0.015,0.0,0.0
44,44.0,0.3967,0.3113,0.1226,0.0087,0.0087,0.0,0.4026,0.3113,0.1303,0.0,0.0,0.0,0.5732,0.2038,0.0,0.0,0.0,0.0,0.361,0.292,0.1895,0.0172,0.0,0.0
45,45.0,0.3665,0.3199,0.1518,0.0082,0.0082,0.0,0.3778,0.3259,0.1447,0.0,0.0,0.0,0.5431,0.2458,0.0,0.0,0.0,0.0,0.3493,0.2649,0.2264,0.0243,0.0,0.0
46,46.0,0.3826,0.3107,0.1566,0.0,0.0,0.0,0.3884,0.3107,0.1346,0.0084,0.0084,0.0,0.5474,0.24,0.0,0.0,0.0,0.0,0.3651,0.2727,0.1991,0.0251,0.0,0.0
