,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
14,14.0,0.4407,0.3582,0.0153,0.0,0.0,0.0,0.3029,0.2505,0.1629,0.1297,0.0303,0.0153,0.5306,0.2624,0.0,0.0,0.0,0.0,0.4555,0.2624,0.0741,0.0228,0.0228,0.0
15,15.0,0.4205,0.3747,0.0225,0.0,0.0,0.0,0.299,0.2589,0.1671,0.1211,0.0299,0.015,0.5199,0.2647,0.0075,0.0075,0.0,0.0,0.4402,0.2933,0.08,0.015,0.0075,0.0
16,16.0,0.3883,0.3683,0.0636,0.0145,0.0,0.0,0.3004,0.2674,0.1614,0.1363,0.0145,0.0073,0.5181,0.2618,0.0145,0.0073,0.0,0.0,0.4176,0.2674,0.1039,0.0288,0.0217,0.0145
17,17.0,0.408,0.3718,0.0301,0.0076,0.0076,0.0,0.3122,0.2547,0.1552,0.1152,0.0226,0.0301,0.532,0.2488,0.0152,0.0,0.0,0.0,0.4331,0.2896,0.1015,0.0076,0.0076,0.0
18,18.0,0.4179,0.3723,0.0296,0.0,0.0,0.0,0.297,0.2571,0.1659,0.1069,0.0223,0.0441,0.5258,0.2571,0.0149,0.0,0.0,0.0,0.4278,0.2687,0.1136,0.0149,0.0149,0.0075
19,19.0,0.4312,0.3629,0.0232,0.0,0.0,0.0,0.3013,0.2417,0.1719,0.1178,0.0232,0.0383,0.5232,0.26,0.0155,0.0,0.0,0.0,0.4463,0.2838,0.0752,0.0078,0.0078,0.0155
20,20.0,0.4304,0.3642,0.015,0.0075,0.0,0.0,0.3046,0.2471,0.1671,0.1144,0.015,0.0445,0.5288,0.253,0.015,0.0,0.0,0.0,0.4451,0.253,0.1211,0.015,0.0075,0.0
21,21.0,0.43,0.3544,0.0294,0.0074,0.0,0.0,0.3062,0.2497,0.1898,0.126,0.0148,0.0,0.5402,0.2438,0.0074,0.0,0.0,0.0,0.4349,0.2555,0.1061,0.0148,0.0148,0.0221
22,22.0,0.4055,0.372,0.0481,0.0,0.0,0.0,0.3069,0.2699,0.1858,0.1004,0.014,0.007,0.5331,0.2591,0.0,0.0,0.0,0.0,0.4195,0.2964,0.1256,0.0,0.0,0.0
23,23.0,0.4055,0.3623,0.0615,0.0,0.0,0.0,0.3375,0.2645,0.1562,0.0876,0.007,0.0278,0.5248,0.2537,0.0209,0.0,0.0,0.0,0.4101,0.2859,0.1193,0.0209,0.007,0.007
24,24.0,0.4174,0.3638,0.0353,0.0072,0.0,0.0,0.3436,0.275,0.1715,0.0828,0.0,0.0,0.5545,0.2303,0.0,0.0,0.0,0.0,0.4031,0.2859,0.1281,0.0143,0.0072,0.0143
25,25.0,0.3937,0.3504,0.087,0.007,0.0,0.0,0.3204,0.2789,0.1431,0.0998,0.0139,0.0276,0.5178,0.2736,0.007,0.0,0.0,0.0,0.3937,0.2629,0.1611,0.0344,0.007,0.0
26,26.0,0.4231,0.3397,0.0593,0.0076,0.0,0.0,0.3505,0.2665,0.1747,0.0806,0.0,0.0,0.5409,0.2428,0.0076,0.0,0.0,0.0,0.4029,0.2723,0.1354,0.0152,0.0152,0.0152
